neighborhood_slug,building_size,property_age,total_monthly_rent
tohid,132.0,3.0,48500000.0
gisha,91.0,19.0,36000000.0
majidiyeh,60.0,21.0,19500000.0
west-tehranpars,86.0,4.0,45000000.0
tehran-kerman,80.0,29.0,17500000.0
abouzar,85.0,8.0,24000000.0
jordan,115.0,4.0,75000000.0
pirouzi,65.0,5.0,17500000.0
hekmat,160.0,3.0,105000000.0
sarsabil,110.0,1.0,36000000.0
abdol-abad,75.0,4.0,22500000.0
niavaran,250.0,7.0,195000000.0
darrous,152.0,12.0,100000000.0
ostad-moein,80.0,24.0,16000000.0
kuhak,125.0,3.0,42000000.0
almahdi,95.0,13.0,29000000.0
tehran-kerman,46.0,14.0,17500000.0
ekbatan,50.0,34.0,11444444.33
velenjak,370.0,7.0,330000000.0
pirouzi,70.0,15.0,21000000.0
kooy-e-ferdos,75.0,3.0,31500000.0
karevan,65.0,14.0,12000000.0
shemiran-no,40.0,1.0,9900000.0
west-tehranpars,50.0,9.0,15900000.0
tolid-daroo,50.0,19.0,9111111.0
andisheh,83.0,19.0,25000000.0
darvazeh-shemiran,60.0,14.0,13000000.0
andisheh,59.0,16.0,21000000.0
darvazeh-shemiran,70.0,14.0,18500000.0
oghaf,65.0,13.0,17500000.0
dr-hoshyar,70.0,12.0,19500000.0
sattarkhan,60.0,24.0,21000000.0
south-shahran,76.0,21.0,29250000.0
gisha,135.0,18.0,50000000.0
shadabad,110.0,2.0,24000000.0
heravi,176.0,11.0,96000000.0
saadat-abad,125.0,10.0,82000000.0
north-sohrevardi,110.0,14.0,50000000.0
fallah,54.0,12.0,15000000.0
farmaniyeh,275.0,14.0,255000000.0
heravi,130.0,16.0,45000000.0
elahiyeh,180.0,24.0,210000000.0
shabiri,78.0,7.0,17000000.0
eskandari,50.0,22.0,11100000.0
bagh-feyz,120.0,1.0,48000000.0
yousef-abad,185.0,26.0,72000000.0
shahrak-e-jandarmeri,168.0,1.0,120100000.0
niloufar,125.0,9.0,55500000.0
zafaraniyeh,330.0,14.0,280000000.0
tarasht,116.0,5.0,39000000.0
soleymani,50.0,22.0,5600000.0
kooy-e-ferdos,97.0,18.0,27000000.0
darrous,65.0,6.0,51500000.0
khaje-nezam-molk,57.0,7.0,18600000.0
north-janat-abad,100.0,16.0,31000000.0
dr-hoshyar,70.0,5.0,7400000.0
azad-shahr,118.0,2.0,36000000.0
pasdaran,115.0,8.0,70000000.0
moqadam,55.0,15.0,12600000.0
kuhak,118.0,5.0,39000000.0
niavaran,120.0,14.0,65000000.0
shahrak-e-vali-e-asr,62.0,19.0,15000000.0
yousef-abad,155.0,1.0,120000000.0
marzdaran,80.0,12.0,36000000.0
saadat-abad,110.0,14.0,57000000.0
beryanak,50.0,24.0,8500000.0
dardasht,60.0,14.0,20000000.0
east-tehranpars,130.0,18.0,30000000.0
nazi-abad,38.0,24.0,11500000.0
ekhtiyariyeh,150.0,4.0,68000000.0
ekhtiyariyeh,98.0,15.0,45000000.0
shams-abad,90.0,6.0,45000000.0
pirouzi,75.0,19.0,18000000.0
chitgar-lake,135.0,5.0,54000000.0
kooy-e-ferdos,140.0,2.0,60000000.0
aboozar,125.0,8.0,46000000.0
gisha,95.0,20.0,33000000.0
tehran-emamat,150.0,1.0,65000000.0
hashemi,80.0,4.0,19500000.0
poonak,120.0,11.0,54000000.0
salamat,61.0,6.0,18100000.0
pasdaran,145.0,6.0,75000000.0
chitgar-lake,140.0,4.0,57000000.0
ekbatan,100.0,29.0,12150000.0
sazamn-barnameh,63.0,2.0,36000000.0
saadat-abad,70.0,7.0,43000000.0
narmak,103.0,5.0,39000000.0
vardavard,72.0,2.0,19600000.0
west-shahrak-e-golestan,120.0,6.0,46000000.0
tehransar,60.0,21.0,17400000.0
tehransar,50.0,19.0,16500000.0
pasdaran,95.0,3.0,70000000.0
east-tehranpars,65.0,14.0,19600000.0
shahin,100.0,6.0,45000000.0
niavaran,320.0,1.0,235000000.0
tajrish,110.0,15.0,66100000.0
darvazeh-shemiran,50.0,16.0,16500000.0
beryanak,67.0,14.0,18900000.0
qeytariyeh,150.0,8.0,90000000.0
tarasht,90.0,6.0,45000000.0
